text,answer
В МСК я хочу заказать доставку букета роз для своей мамы на ее день рождения.,Город: Москва
В Екб мне нужно доставить невесте букет пионов к дню свадьбы.,Город: Екатеринбург
Я хотел бы заказать доставку букета роз в екат.,Город: Екатеринбург
Желаю заказать в Калининград астромерии.,Город: Калининград
"Закажу доставку цветов в Калик для коллеги, который отмечает юбилей.",Город: Калининград
Хочу отправить в екб букет тюльпанов своей девушке в знак извинения.,Город: Екатеринбург
Подруга в НН ждет букет ромашек ко дню всех влюбленных.,Город: Нижний Новгород
"Заказываю доставку розовых роз из тагила для моей сестры, которая только что родила дочку.",Город: Нижний Тагил
Нужно из мск отправить букет альстромерий моей бабушке в день ее юбилея.,Город: Москва
Планирую доставить букет орхидей для своей лучшей подруги на ее свадьбу в омс.,Город: Омск
В Самаре я хочу заказать доставку романтичного букета лаванды для своего парня.,Город: Самара
Получить из ростова букет солнечных гербер для своего нового офиса.,Город: Ростов-на-Дону
Нужно отправить букеты роз и гвоздик для свадьбы моего брата в томск,Город: Томск
Заказать доставку букета орхидей для своей тети на ее день рождения в вн,Город: Великий Новгород
В Воронеже я планирую доставить цветы моей любимой учительнице в день учителя.,Город: Воронеж